technique,year_start,year_end,num_groups,groups
Malicious File,2018,2020,50,"TA505, APT-C-36, Mofang, APT19, Molerats, APT29, PROMETHIUM, Elderwood, FIN7, Gorgon Group, Inception, RTM, DarkHydrus, TA459, Machete, admin@338, Naikon, APT37, OilRig, Gallmaker, Gamaredon Group, MuddyWater, Patchwork, Silence, Wizard Spider, Darkhotel, Tropic Trooper, Kimsuky, PLATINUM, Dark Caracal, Rancor, Cobalt Group, APT39, APT12, BRONZE BUTLER, The White Company, Sandworm Team, FIN8, APT30, Lazarus Group, APT28, Windshift, menuPass, Whitefly, FIN6, APT32, FIN4, Leviathan, APT33, BlackTech"
Spearphishing Attachment,2018,2020,49,"FIN4, Silence, Darkhotel, DarkHydrus, Lazarus Group, Patchwork, RTM, Tropic Trooper, Kimsuky, Molerats, APT12, Cobalt Group, PLATINUM, APT30, Mofang, Machete, Inception, APT19, MuddyWater, FIN8, Sandworm Team, OilRig, Gallmaker, admin@338, FIN7, TA459, Gamaredon Group, The White Company, Elderwood, menuPass, Gorgon Group, APT37, APT39, APT32, Leviathan, APT1, APT41, APT33, FIN6, BlackTech, Rancor, Wizard Spider, APT-C-36, TA505, APT28, BRONZE BUTLER, APT29, Naikon, Windshift"
Malicious File,2019,2021,45,"TA505, APT-C-36, Mofang, Molerats, Magic Hound, PROMETHIUM, Sidewinder, APT38, Inception, RTM, Ferocious Kitten, Machete, admin@338, Higaisa, Naikon, Gallmaker, Mustang Panda, Dragonfly, Gamaredon Group, Threat Group-3390, Silence, IndigoZebra, Wizard Spider, Darkhotel, Tropic Trooper, Kimsuky, TA551, Nomadic Octopus, Transparent Tribe, APT39, APT12, Tonto Team, The White Company, Andariel, Sandworm Team, APT30, Windshift, Ajax Security Team, Whitefly, FIN6, Indrik Spider, FIN4, Confucius, APT33, BlackTech"
Spearphishing Attachment,2019,2021,44,"FIN4, Silence, Darkhotel, Andariel, RTM, Tropic Trooper, Kimsuky, Molerats, APT12, APT30, Dragonfly, Mofang, Sidewinder, Machete, Inception, Tonto Team, APT38, Sandworm Team, Transparent Tribe, LazyScripter, Gallmaker, admin@338, Threat Group-3390, Higaisa, Gamaredon Group, The White Company, APT39, Nomadic Octopus, TA551, APT1, APT41, APT33, FIN6, Confucius, BlackTech, Wizard Spider, Mustang Panda, Ferocious Kitten, APT-C-36, TA505, IndigoZebra, Ajax Security Team, Naikon, Windshift"
Malicious File,2020,2022,43,"APT-C-36, Mofang, Molerats, Magic Hound, PROMETHIUM, Sidewinder, EXOTIC LILY, APT38, Inception, RTM, Ferocious Kitten, LazyScripter, Higaisa, Naikon, Mustang Panda, Dragonfly, Gamaredon Group, WIRTE, Earth Lusca, BITTER, Threat Group-3390, IndigoZebra, Wizard Spider, Tropic Trooper, Aoqin Dragon, Kimsuky, TA551, Nomadic Octopus, Transparent Tribe, Tonto Team, Andariel, Sandworm Team, APT30, Windshift, Ajax Security Team, Whitefly, FIN6, Indrik Spider, SideCopy, HEXANE, Confucius, APT33, BlackTech"
Ingress Tool Transfer,2020,2022,40,"APT41, Evilnum, HEXANE, Andariel, Nomadic Octopus, Dragonfly, Fox Kitten, Windshift, Winnti Group, APT29, ZIRCONIUM, Aquatic Panda, IndigoZebra, Tonto Team, BackdoorDiplomacy, Rocke, Kimsuky, HAFNIUM, Chimera, APT39, Moses Staff, Indrik Spider, TA551, Molerats, Ke3chang, APT-C-36, Ajax Security Team, SideCopy, LazyScripter, Silence, Confucius, Tropic Trooper, Volatile Cedar, Sandworm Team, Mustang Panda, Whitefly, Sidewinder, Darkhotel, BITTER, TeamTNT"
Ingress Tool Transfer,2019,2021,39,"APT41, Evilnum, APT33, APT38, Andariel, Nomadic Octopus, GALLIUM, Dragonfly, Fox Kitten, Windshift, APT29, ZIRCONIUM, IndigoZebra, Tonto Team, BackdoorDiplomacy, Rocke, Kimsuky, HAFNIUM, Chimera, MuddyWater, APT39, Indrik Spider, TA551, Molerats, APT-C-36, Ajax Security Team, WIRTE, Silence, Confucius, Tropic Trooper, Volatile Cedar, Sandworm Team, APT18, TA505, Mustang Panda, Whitefly, Sidewinder, Darkhotel, TeamTNT"
Ingress Tool Transfer,2021,2023,35,"Evilnum, HEXANE, Metador, TA2541, Andariel, Nomadic Octopus, Cinnamon Tempest, Dragonfly, Wizard Spider, Windshift, Winnti Group, APT29, ZIRCONIUM, Aquatic Panda, IndigoZebra, Tonto Team, BackdoorDiplomacy, HAFNIUM, Moses Staff, Indrik Spider, Mustard Tempest, TA551, Ke3chang, Ajax Security Team, SideCopy, LazyScripter, Confucius, Volatile Cedar, FIN13, Mustang Panda, Sidewinder, Darkhotel, BITTER, LuminousMoth, TeamTNT"
Spearphishing Attachment,2020,2022,35,"Andariel, WIRTE, RTM, Molerats, APT30, Dragonfly, Mofang, Sidewinder, BITTER, Inception, Tonto Team, APT38, Sandworm Team, Transparent Tribe, LazyScripter, Threat Group-3390, Higaisa, Gamaredon Group, Nomadic Octopus, SideCopy, TA551, APT1, APT33, FIN6, Confucius, BlackTech, Wizard Spider, Mustang Panda, Ferocious Kitten, APT-C-36, EXOTIC LILY, IndigoZebra, Ajax Security Team, Naikon, Windshift"
PowerShell,2017,2019,34,"APT32, APT19, Leviathan, BRONZE BUTLER, FIN10, Cobalt Group, DarkHydrus, Patchwork, CopyKittens, APT33, Thrip, OilRig, Magic Hound, FIN8, TA459, Threat Group-3390, MuddyWater, APT29, menuPass, FIN7, FIN6, TA505, APT3, Kimsuky, Gallmaker, GALLIUM, Gorgon Group, WIRTE, Turla, APT28, APT41, Deep Panda, Stealth Falcon, Poseidon Group"
Ingress Tool Transfer,2018,2020,33,"APT41, OilRig, APT33, Leviathan, APT32, APT38, GALLIUM, Fox Kitten, Turla, APT3, BRONZE BUTLER, APT37, Rocke, Kimsuky, Elderwood, Chimera, MuddyWater, PLATINUM, APT39, Molerats, Cobalt Group, APT-C-36, Rancor, Gorgon Group, WIRTE, FIN8, Silence, Tropic Trooper, Sandworm Team, APT18, TA505, Whitefly, Magic Hound"
Malicious Link,2020,2022,33,"FIN7, Windshift, LazyScripter, OilRig, Kimsuky, Machete, Sidewinder, TA505, APT3, Mustang Panda, Sandworm Team, APT39, MuddyWater, Cobalt Group, Elderwood, APT32, EXOTIC LILY, APT29, FIN8, Leviathan, Molerats, Transparent Tribe, Magic Hound, Mofang, Wizard Spider, FIN4, APT28, Confucius, BlackTech, Evilnum, ZIRCONIUM, Earth Lusca, Patchwork"
PowerShell,2018,2020,33,"Silence, APT19, Leviathan, BRONZE BUTLER, DarkVishnya, Cobalt Group, DarkHydrus, Sandworm Team, CopyKittens, APT33, Thrip, OilRig, Magic Hound, FIN8, TA459, Wizard Spider, MuddyWater, Fox Kitten, Molerats, Inception, GOLD SOUTHFIELD, TA505, Kimsuky, Chimera, Gallmaker, GALLIUM, APT39, Gorgon Group, WIRTE, Turla, APT28, APT41, Blue Mockingbird"
Match Legitimate Resource Name or Location,2020,2022,31,"Gamaredon Group, Sandworm Team, PROMETHIUM, APT29, WIRTE, Kimsuky, TeamTNT, Darkhotel, Lazarus Group, SideCopy, Blue Mockingbird, APT39, Transparent Tribe, BackdoorDiplomacy, Ferocious Kitten, Whitefly, Tropic Trooper, Machete, Indrik Spider, Earth Lusca, FIN7, Sidewinder, Fox Kitten, Naikon, Ke3chang, APT28, Chimera, Silence, Rocke, Magic Hound, Mustang Panda"
Web Protocols,2018,2020,30,"APT39, Ke3chang, Tropic Trooper, TA505, APT33, Rancor, SilverTerrier, APT37, APT41, Cobalt Group, Turla, WIRTE, Rocke, Dark Caracal, APT19, APT28, OilRig, Lazarus Group, Inception, Magic Hound, Orangeworm, FIN4, Wizard Spider, APT38, MuddyWater, APT32, BRONZE BUTLER, Sandworm Team, Threat Group-3390, APT18"
Windows Command Shell,2018,2020,30,"FIN6, BRONZE BUTLER, Gorgon Group, Tropic Trooper, APT37, Fox Kitten, APT41, Wizard Spider, FIN8, APT32, Darkhotel, MuddyWater, Cobalt Group, APT18, GALLIUM, Turla, Sowbug, Machete, FIN7, OilRig, Ke3chang, APT28, Dark Caracal, Silence, Magic Hound, Blue Mockingbird, APT38, Rancor, Lazarus Group, TA505"
Windows Command Shell,2019,2021,30,"FIN6, Tropic Trooper, Fox Kitten, APT41, Higaisa, Wizard Spider, ZIRCONIUM, Chimera, LazyScripter, Mustang Panda, APT32, Darkhotel, MuddyWater, Cobalt Group, APT18, GALLIUM, Turla, Machete, FIN7, Nomadic Octopus, OilRig, TeamTNT, Indrik Spider, Silence, TA551, Blue Mockingbird, APT38, Dragonfly, Lazarus Group, TA505"
PowerShell,2019,2021,29,"Silence, Indrik Spider, DarkVishnya, Confucius, Mustang Panda, HAFNIUM, Sandworm Team, APT33, Dragonfly, Sidewinder, Nomadic Octopus, LazyScripter, Wizard Spider, Fox Kitten, Molerats, Inception, GOLD SOUTHFIELD, TeamTNT, TA505, Kimsuky, Chimera, Gallmaker, GALLIUM, APT39, WIRTE, APT38, Tonto Team, APT41, Blue Mockingbird"
Visual Basic,2019,2021,29,"MuddyWater, APT37, WIRTE, Silence, Sandworm Team, FIN4, Turla, BRONZE BUTLER, Rancor, Machete, Patchwork, APT32, TA505, Gamaredon Group, APT33, Inception, APT-C-36, OilRig, Kimsuky, Molerats, Higaisa, Windshift, Transparent Tribe, Mustang Panda, FIN7, APT39, LazyScripter, Sidewinder, APT38"
